year;month;temp;prec
1931;1;0;0
1931;2;0;0
1931;3;0;0
1931;4;0;0
1931;5;0;0
1931;6;0;0
1931;7;0;0
1931;8;0;0
1931;9;0;0
1931;10;0;0
1931;11;0;0
1931;12;0;0
1932;1;0;0
1932;2;0;0
1932;3;0;0
1932;4;0;0
1932;5;0;0
1932;6;0;0
1932;7;0;0
1932;8;0;0
1932;9;0;0
1932;10;0;0
1932;11;0;0
1932;12;0;0
1933;1;0;0
1933;2;0;0
1933;3;0;0
1933;4;0;0
1933;5;0;0
1933;6;0;0
1933;7;0;0
1933;8;0;0
1933;9;0;0
1933;10;0;0
1933;11;0;0
1933;12;0;0
1934;1;0;0
1934;2;0;0
1934;3;0;0
1934;4;0;0
1934;5;0;0
1934;6;0;0
1934;7;0;0
1934;8;0;0
1934;9;0;0
1934;10;0;0
1934;11;0;0
1934;12;0;0
1935;1;0;0
1935;2;0;0
1935;3;0;0
1935;4;0;0
1935;5;0;0
1935;6;0;0
1935;7;0;0
1935;8;0;0
1935;9;0;0
1935;10;0;0
1935;11;0;0
1935;12;0;0
1936;1;0;0
1936;2;0;0
1936;3;0;0
1936;4;0;0
1936;5;0;0
1936;6;0;0
1936;7;0;0
1936;8;0;0
1936;9;0;0
1936;10;0;0
1936;11;0;0
1936;12;0;0
1937;1;0;0
1937;2;0;0
1937;3;0;0
1937;4;0;0
1937;5;0;0
1937;6;0;0
1937;7;0;0
1937;8;0;0
1937;9;0;0
1937;10;0;0
1937;11;0;0
1937;12;0;0
1938;1;0;0
1938;2;0;0
1938;3;0;0
1938;4;0;0
1938;5;0;0
1938;6;0;0
1938;7;0;0
1938;8;0;0
1938;9;0;0
1938;10;0;0
1938;11;0;0
1938;12;0;0
1939;1;0;0
1939;2;0;0
1939;3;0;0
1939;4;0;0
1939;5;0;0
1939;6;0;0
1939;7;0;0
1939;8;0;0
1939;9;0;0
1939;10;0;0
1939;11;0;0
1939;12;0;0
1940;1;0;0
1940;2;0;0
1940;3;0;0
1940;4;0;0
1940;5;0;0
1940;6;0;0
1940;7;0;0
1940;8;0;0
1940;9;0;0
1940;10;0;0
1940;11;0;0
1940;12;0;0
1941;1;0;64,2
1941;2;0;50,4
1941;3;0;55
1941;4;0;50,8
1941;5;0;65,7
1941;6;0;110,5
1941;7;0;172,3
1941;8;0;73,5
1941;9;0;40,1
1941;10;0;125,1
1941;11;0;21,5
1941;12;0;46,1
1942;1;0;44,9
1942;2;0;37,4
1942;3;0;39,9
1942;4;0;27,3
1942;5;0;79,8
1942;6;0;41,4
1942;7;0;103,4
1942;8;0;56,8
1942;9;0;32,1
1942;10;0;58,3
1942;11;0;39,9
1942;12;0;23,5
1943;1;0;39,1
1943;2;0;26,2
1943;3;0;22,2
1943;4;0;39,9
1943;5;0;47,5
1943;6;0;82,9
1943;7;0;68,5
1943;8;0;60,2
1943;9;0;57,1
1943;10;0;0
1943;11;0;46,5
1943;12;0;19
1944;1;0;78,2
1944;2;0;63,1
1944;3;0;49,8
1944;4;0;78,1
1944;5;0;9,8
1944;6;0;74,3
1944;7;0;107,9
1944;8;0;46,1
1944;9;0;45,6
1944;10;0;56,4
1944;11;0;128,6
1944;12;0;55
1945;1;0;0
1945;2;0;0
1945;3;0;0
1945;4;0;0
1945;5;0;0
1945;6;0;0
1945;7;0;0
1945;8;0;0
1945;9;0;0
1945;10;0;0
1945;11;0;0
1945;12;0;0
1946;1;0;26,6
1946;2;0;94
1946;3;0;24,7
1946;4;0;13,4
1946;5;0;96,9
1946;6;0;134,9
1946;7;0;55
1946;8;0;67,1
1946;9;0;42,4
1946;10;0;50,6
1946;11;0;25,2
1946;12;0;18,5
1947;1;17,9;45,5440880084625
1947;2;19,5;63,9271366869423
1947;3;19,5;42,0234782385628
1947;4;17,1;32,3159258538311
1947;5;7,9;19,9650372335367
1947;6;4,8;82,0734453583702
1947;7;0;100,139372987743
1947;8;0;3,6
1947;9;0;21,2
1947;10;0;4,4
1947;11;0;98,8
1947;12;0;132,9
1948;1;2,9;106,937730819007
1948;2;0,4;59,0630556096267
1948;3;6,2;37,7367053513181
1948;4;9,7;38,9334245649298
1948;5;14;40,6068352675659
1948;6;15,6;104,744327047518
1948;7;15,6;104,747846872961
1948;8;16,2;54,5931647324341
1948;9;13,2;12,7060834946661
1948;10;8,4;20,2627819148374
1948;11;3,4;24,5179767892092
1948;12;-0,9;10,6286055770079
1949;1;0,2;28,1726589297364
1949;2;0,3;15,5962064797672
1949;3;2,1;41,3713944229921
1949;4;10,7;55,0480859120166
1949;5;11,8;88,5222830432865
1949;6;14,2;25,7116542554878
1949;7;18,6;10,3551948743717
1949;8;17,5;59,0838004513796
1949;9;16,8;28,5946682782336
1949;10;10,6;12,3496241135501
1949;11;3;32,2541694066827
1949;12;2,2;51,8696171824033
1950;1;-1,4;35,4293573499077
1950;2;2,7;71,3974709865114
1950;3;4,6;7,20936428105446
1950;4;6,4;66,4789814634578
1950;5;13,8;67,4559466472715
1950;6;17,9;57,6655846231152
1950;7;18,8;96,1321600581855
1950;8;17,4;90,8794941973023
1950;9;12,4;57,1235475500308
1950;10;7,5;31,7546821405272
1950;11;4;132,882023210791
1950;12;-2,9;37,3825359446354
1951;1;1,6;74,1809206712334
1951;2;1,9;51,1588285827307
1951;3;2,4;34,4629410938009
1951;4;7,4;16,0034667052819
1951;5;11,8;43,8358706562468
1951;6;14,8;155,573344481258
1951;7;17,5;58,5654519084222
1951;8;17,1;52,0412894784092
1951;9;14,2;29,9362173136905
1951;10;7,5;30,4235928774894
1951;11;5,5;71,2638858844437
1951;12;0,8;49,1949426165421
1952;1;-0,743684720789631;78,8374026611072
1952;2;-1,8;48,135795576603
1952;3;3,07473888315852;126,714701227343
1952;4;10,2310541623689;36,2180153980165
1952;5;12,3;36,5835628205088
1952;6;15,9;60,9469624047396
1952;7;19,8;6,55166457712541
1952;8;18,6;38,6239352229034
1952;9;10,2563152792104;91,1718957023803
1952;10;6,84368472078963;67,9772028177352
1952;11;1,1;150,910188694152
1952;12;-1,76894583763111;63,9807214010751
1953;1;-2,14368472078963;23,2148267096342
1953;2;-0,412630558420738;30,7205792131611
1953;3;5,02421664947557;2,5791559170344
1953;4;9,41842360394815;45,2881153683168
1953;5;13,3;61,8069809101576
1953;6;15,4;101,036470515155
1953;7;17,4873694415793;114,988212604806
1953;8;16,4310541623689;26,7614005552416
1953;9;13,6310541623689;35,7803132738395
1953;10;9,50579304552742;39,5701831297273
1953;11;3,08736944157926;6,78313626821925
1953;12;1,57473888315852;20,3948211373750
1954;1;-4,45631527921037;73,7299744485155
1954;2;-3,46894583763111;18,0672663727837
1954;3;4,73105416236889;25,2569203563179
1954;4;5,68736944157926;58,1272595370734
1954;5;11,7310541623689;73,9792870678528
1954;6;15,9;43,74378687544
1954;7;14,1563152792104;158,008126059406
1954;8;15,5873694415793;119,739491519681
1954;9;13,2310541623689;125,88684884675
1954;10;9,1;35,6065007794023
1954;11;3,33105416236889;30,1588886635497
1954;12;2,24368472078963;80,7089423837706
1955;1;-2,76894583763111;63,2432843119454
1955;2;-1,95631527921037;63,0959872347913
1955;3;0,631054162368893;19,4426504349404
1955;4;6,9310541623689;39,6720465673422
1955;5;10,6;51,1986260868032
1955;6;14,8436847207896;94,1128052556213
1955;7;16,8873694415793;104,437747864321
1955;8;15,9873694415793;48,923963165801
1955;9;12,5436847207896;71,0392023594789
1955;10;7,08736944157926;17,6569803886670
1955;11;2,47473888315852;9,39459671756613
1955;12;2;85,741960010965
1956;1;-0,0689458376311072;58,6899936828343
1956;2;-10,4;18,8770728307163
1956;3;2,70579304552742;58,7855653900823
1956;4;5,73105416236889;38,0182864248624
1956;5;12,0873694415793;49,2078677761507
1956;6;12,8563152792104;87,013537282356
1956;7;16,6126305584207;130,969358199862
1956;8;14,0252611168415;91,875506938398
1956;9;13,4310541623689;46,1717432891222
1956;10;7,64368472078963;81,7877856778829
1956;11;1,48736944157926;53,8161833482448
1956;12;0,443684720789631;29,5198263665714
1957;1;-1,34368472078963;39,8780399363374
1957;2;3,78736944157926;78,3872866313403
1957;3;6,64368472078963;51,622422471121
1957;4;7,4310541623689;24,9495131841703
1957;5;9,54368472078963;38,4163835250699
1957;6;16,9563152792104;82,3137662833284
1957;7;17,9689458376311;77,4768402533055
1957;8;14,7563152792104;89,2178123260917
1957;9;11,6;117,525934679373
1957;10;8,1310541623689;10,0971540615464
1957;11;3,4;15,1385296800307
1957;12;-0,512630558420738;56,7462444831084
1958;1;-1,15631527921037;80,5886427763352
1958;2;1,75631527921037;112,271202580559
1958;3;-0,95631527921037;38,7240070119305
1958;4;5,18736944157926;71,6597869581372
1958;5;13,9126305584207;70,9058090259043
1958;6;14,6252611168415;70,1295614250752
1958;7;16,9252611168415;51,4548486847822
1958;8;17,0436847207896;85,2569062633305
1958;9;14,4;58,7527738868533
1958;10;8,04368472078963;76,6624188797183
1958;11;3,84368472078963;15,5693634480717
1958;12;1,6;74,5913284903945
1959;1;-0,656315279210369;63,6245399336186
1959;2;-0,512630558420738;6,75250024143754
1959;3;6,13105416236889;34,6644954261861
1959;4;9,08736944157926;52,3805838164944
1959;5;12,5310541623689;66,1068251526087
1959;6;15,9126305584207;73,0577956377075
1959;7;19,5252611168415;60,4991817799041
1959;8;16,7873694415793;76,3734171755289
1959;9;13,5747388831585;6,06302258880342
1959;10;7,6310541623689;67,5498218414297
1959;11;2,4;48,2996557017751
1959;12;1,84368472078963;67,6425871681891
1960;1;-1,05631527921037;39,280867747017
1960;2;0;50,1345984607783
1960;3;4,63105416236889;36,9882833421416
1960;4;8,1;25,9727338052892
1960;5;13,2815763960518;79,913002788697
1960;6;16,8505222336830;40,9577167837259
1960;7;15,6757833505244;69,0029657572346
1960;8;16,0378916752622;123,148242745166
1960;9;11,8563152792104;25,697327231449
1960;10;8,65631527921037;121,505348957455
1960;11;5,38157639605184;57,5437056436067
1960;12;0,381576396051845;53,0794753396424
1961;1;-0,843684720789631;55,1160381247088
1961;2;3,8;48,0390094202696
1961;3;5,81263055842074;33,9497770756879
1961;4;11,2126305584207;76,9293057278984
1961;5;10,4815763960518;105,518669904305
1961;6;15,8505222336830;112,938690146542
1961;7;15,1194680713141;84,454312045419
1961;8;16,1942069544726;63,0978002967695
1961;9;16,8126305584207;39,1331744170501
1961;10;10,1126305584207;26,9403271157871
1961;11;3,16894583763111;30,790707765492
1961;12;-0,712630558420738;91,1335342719349
1962;1;0,85631527921037;53,8500888666524
1962;2;-0,687369441579262;65,4446811416345
1962;3;0,212630558420738;54,5226337446985
1962;4;8,75631527921037;49,4539369816834
1962;5;9,98157639605184;73,8277994439599
1962;6;14,9942069544726;29,0275642008974
1962;7;15,7631527921037;71,3317292325969
1962;8;17,2378916752622;49,7120459647138
1962;9;12,5;67,2108448964094
1962;10;8,48736944157926;5,32044044018798
1962;11;1,82526111684148;29,6098572654795
1962;12;-4,8;63,2034127387563
1963;1;-7,48736944157926;25,1821384725627
1963;2;-6,2;14,8544838404985
1963;3;2,18736944157926;78,7091739730318
1963;4;8,94368472078963;40,4338176535298
1963;5;12,2689458376311;24,3018607569014
1963;6;15,6505222336830;161,204577187808
1963;7;18,2815763960518;79,7238300800769
1963;8;15,8815763960518;88,8025165029878
1963;9;14,0689458376311;45,2280645622325
1963;10;7,41263055842074;40,1310581878498
1963;11;7,15631527921037;78,6018696325808
1963;12;-4,25631527921037;3,53646479046188
1964;1;-4,2;18,9527669214867
1964;2;0,512630558420738;24,6455681658901
1964;3;1,11263055842074;60,4514137411534
1964;4;9,35631527921037;44,0255639309034
1964;5;14,0689458376311;82,5836788699204
1964;6;17,5505222336830;42,845332997865
1964;7;19,3631527921037;6,47681287044817
1964;8;16,3563152792104;60,7330128384762
1964;9;13,8436847207896;43,6368244490109
1964;10;7,2;47,2252246635133
1964;11;4,81263055842074;67,6842749025418
1964;12;-0,4;26,1796496116812
1965;1;0,612630558420738;110,060339382796
1965;2;-3,07473888315852;29,5283933620341
1965;3;2,23105416236889;91,2876245208761
1965;4;6,68736944157926;84,3671763036336
1965;5;11,4126305584207;122,231076757983
1965;6;15,8378916752622;139,548077673817
1965;7;15,4815763960518;120,610108564412
1965;8;15,1689458376311;38,4949925699575
1965;9;12,1;66,7268607757702
1965;10;7,67473888315852;1,84070997688931
1965;11;1,7;85,4027332122089
1965;12;2,8;118,508583275879
1966;1;-3,31263055842074;37,5199590864783
1966;2;5,64368472078963;57,9774474417919
1966;3;2,68736944157926;71,8183861153934
1966;4;10;65,780788246922
1966;5;13,0689458376311;88,979299108041
1966;6;16,8378916752622;90,941291078172
1966;7;15,2068375128933;107,805867399044
1966;8;15,5252611168415;152,659636642808
1966;9;13,3436847207896;29,1517825826730
1966;10;11,2;56,627479952228
1966;11;1,5;41,6150496510403
1966;12;1,45631527921037;134,974262805957
1967;1;-0,243684720789631;33,6088904706186
1967;2;2,24368472078963;50,0291249644256
1967;3;4,98736944157926;50,6161144021431
1967;4;6,7;45,9398074429493
1967;5;12,5126305584207;57,1633499852397
1967;6;14,8378916752622;50,4636986047503
1967;7;19,5689458376311;47,4616443154782
1967;8;17,0184236039482;91,1142329916964
1967;9;13,4873694415793;50,9142496786183
1967;10;11,3747388831585;51,6911430347605
1967;11;3,2;36,8078140107739
1967;12;-0,887369441579262;74,6607397675394
1968;1;-1,74368472078963;81,4038050973901
1968;2;0,95631527921037;42,9288776769365
1968;3;4,14368472078963;44,8681965453611
1968;4;8,94947776631705;77,1347484276473
1968;5;11,4689458376311;69,4087984012818
1968;6;16,0815763960518;65,7763969458883
1968;7;16,3252611168415;73,4232553360143
1968;8;15,6252611168415;168,096822078075
1968;9;12,9310541623689;136,179158613248
1968;10;9,51842360394815;51,1597399716962
1968;11;2,63105416236889;21,2938749372785
1968;12;-2,51263055842074;36,9690465783786
1969;1;-0,468945837631107;43,8384332259725
1969;2;-2,14368472078963;34,2610025784827
1969;3;2,28736944157926;40,932008282083
1969;4;7,24368472078963;45,3277637934633
1969;5;13,7126305584207;52,0696113927445
1969;6;14,3689458376311;116,862078088102
1969;7;18,7126305584207;32,1985105335157
1969;8;16,4563152792104;101,304542939759
1969;9;13,9873694415793;8,20786681200737
1969;10;9,27473888315852;3,52978138848799
1969;11;4,8;86,0948227854077
1969;12;-4,78736944157926;29,5371086971254
1970;1;-2,01263055842074;41,4586974871716
1970;2;-0,587369441579262;162,803396694436
1970;3;1;56,4975757280805
1970;4;5,7;83,971325174102
1970;5;11,4563152792104;71,4775616434083
1970;6;17,9126305584207;39,5480226307603
1970;7;16,6689458376311;73,3474672543332
1970;8;17;96,5118934304889
1970;9;13,7436847207896;33,9846514387668
1970;10;8,74368472078963;72,5917679113186
1970;11;5,5;48,1380725623245
1970;12;-0,8;44,0301390533503
1971;1;-2,29420695447258;29,5429792688238
1971;2;0,556315279210369;28,2582962489091
1971;3;0,8;29,4540141467189
1971;4;9,48736944157926;37,8428702943357
1971;5;14,6252611168415;68,7946730609446
1971;6;14,1252611168415;129,254731076357
1971;7;19,0252611168415;7,01614012396753
1971;8;18,7;55,4739431482132
1971;9;12,2747388831585;28,9242233509048
1971;10;8,50579304552742;26,6005724317594
