id;species_common;species_latin;dbh_cm;coniferous
1;Common ash;Fraxinus excelsior;41;no
2;Common ash;Fraxinus excelsior;38,5;no
3;Scots pine;Pinus sylvestris;75;yes
4;Scots pine;Pinus sylvestris;60,5;yes
5;Scots pine;Pinus sylvestris;65,2;yes
6;European beech;Fagus sylvatica;40,5;no
7;European larch;Larix decidua;55;yes
8;Common aspen;Populus tremula;65;no
9;European larch;Larix decidua;51,4;yes
10;European larch;Larix decidua;55;yes
11;Mountain elm;Ulmus glabra;44,1;no
12;Mountain elm;Ulmus glabra;38,1;no
13;Norway spruce;Picea abies;45;yes
14;Norway spruce;Picea abies;58;yes
15;Douglas fir;Pseudotsuga menziesii;73,5;yes
16;Douglas fir;Pseudotsuga menziesii;64,5;yes
17;Douglas fir;Pseudotsuga menziesii;61;yes
18;Douglas fir;Pseudotsuga menziesii;60;yes
19;Common oak;Quercus robur;50,8;no
20;Common oak;Quercus robur;40;no
21;European beech;Fagus sylvatica;36;no
22;Norway spruce;Picea abies;40;yes
23;Sycamore maple;Acer pseudoplatanus;40;no
24;Sycamore maple;Acer pseudoplatanus;41,5;no
25;Douglas fir;Pseudotsuga menziesii;71;yes
26;Douglas fir;Pseudotsuga menziesii;77;yes
27;European beech;Fagus sylvatica;56;no
28;Sycamore maple;Acer pseudoplatanus;53;no
29;Norway spruce;Picea abies;61;yes
30;Sycamore maple;Acer pseudoplatanus;61;no
31;Sycamore maple;Acer pseudoplatanus;43,2;no
32;Common oak;Quercus robur;51;no
33;Silver birch;Betula pendula;46,5;no